NAME,B19013_001E,B01003_001E,B01002_001E,B15003_022E,B15003_023E,B25003_001E,B25003_002E,B25077_001E,metropolitan statistical area/micropolitan statistical area,metropolitan division,geo_level,geo_code,parent_cbsa,year
"Dallas-Fort Worth-Arlington, TX Metro Area",70281,7320663,34.8,1085695,437064,2553470,1519504,215700,19100,,msa,19100,,2019
"Dalton, GA Metro Area",48481,143961,36.5,8804,3145,50014,33021,127100,19140,,msa,19140,,2019
"Danville, IL Metro Area",46515,77563,40.4,5204,2073,31151,21666,79900,19180,,msa,19180,,2019
"Danville, KY Micro Area",44779,54448,40.7,4031,2400,20720,15000,123600,19220,,msa,19220,,2019
"Danville, VA Micro Area",42175,102326,45.1,7552,3096,44560,29220,111800,19260,,msa,19260,,2019
"Daphne-Fairhope-Foley, AL Metro Area",58320,212830,43.0,31801,11812,80930,60896,197900,19300,,msa,19300,,2019
"Davenport-Moline-Rock Island, IA-IL Metro Area",58531,381175,39.7,45071,19226,153939,108190,136200,19340,,msa,19340,,2019
"Dayton, TN Micro Area",42206,32719,38.9,2381,1003,12177,8672,122600,19420,,msa,19420,,2019
"Dayton-Kettering, OH Metro Area",55634,803543,39.3,94473,52225,330975,209321,135000,19430,,msa,19430,,2019
"Decatur, AL Metro Area",50422,152271,40.9,14640,5193,58595,43237,131000,19460,,msa,19460,,2019
"Decatur, IL Metro Area",50480,105528,41.1,10466,4144,43912,30039,98400,19500,,msa,19500,,2019
"Dothan, AL Metro Area",46351,148252,41.1,12351,5907,56324,38830,127500,20020,,msa,20020,,2019
"Douglas, GA Micro Area",40423,51260,36.3,2468,1226,17318,11224,90800,20060,,msa,20060,,2019
"Dover, DE Metro Area",60910,176699,37.7,17393,7841,65796,45436,220600,20100,,msa,20100,,2019
"Dublin, GA Micro Area",39066,63891,39.8,3570,1970,23025,14953,86300,20140,,msa,20140,,2019
"DuBois, PA Micro Area",49015,79908,45.0,5810,2285,31248,23992,96100,20180,,msa,20180,,2019
